id,category,proposal,expectedArticles,expectedDisposition,expectedScore
CPB-067,transparent-power,"The proposed rule explicitly includes secret rule, hidden moderator, and opaque score.",05,needs-safeguards,64
CPB-068,transparent-power,"The proposed rule explicitly includes secret rule, hidden moderator, opaque score, and private governance.",05,high-risk,52
CPB-069,transparent-power,The proposal explicitly includes public audit log and published rule.,05,no-explicit-conflict,100
CPB-070,transparent-power,"The proposal includes public audit log, but also secret rule.",05,guarded,92
CPB-071,transparent-power,"The proposal includes public audit log, but also secret rule and hidden moderator.",05,needs-safeguards,80
CPB-072,transparent-power,The proposal schedules a neighborhood design workshop and publishes the date.,,no-explicit-conflict,100
CPB-073,reproducible-contribution,The proposed rule explicitly includes unverifiable.,06,needs-safeguards,88
CPB-074,reproducible-contribution,The proposed rule explicitly includes unverifiable and proprietary score.,06,needs-safeguards,76
CPB-075,reproducible-contribution,"The proposed rule explicitly includes unverifiable, proprietary score, and trust us.",06,needs-safeguards,64
CPB-076,reproducible-contribution,"The proposed rule explicitly includes unverifiable, proprietary score, trust us, and unpublished test.",06,high-risk,52
CPB-077,reproducible-contribution,The proposal explicitly includes open source and public benchmark.,06,no-explicit-conflict,100
CPB-078,reproducible-contribution,"The proposal includes open source, but also unverifiable.",06,guarded,92
CPB-079,reproducible-contribution,"The proposal includes open source, but also unverifiable and proprietary score.",06,needs-safeguards,80
CPB-080,reproducible-contribution,The proposal schedules a neighborhood design workshop and publishes the date.,,no-explicit-conflict,100
CPB-081,right-to-leave,The proposed rule explicitly includes cannot leave.,07,needs-safeguards,88
CPB-082,right-to-leave,The proposed rule explicitly includes cannot leave and lock in.,07,needs-safeguards,76
CPB-083,right-to-leave,"The proposed rule explicitly includes cannot leave, lock in, and non-cancelable.",07,needs-safeguards,64
CPB-084,right-to-leave,"The proposed rule explicitly includes cannot leave, lock in, non-cancelable, and retain forever.",07,high-risk,52
CPB-085,right-to-leave,The proposal explicitly includes right to leave and data export.,07,no-explicit-conflict,100
CPB-086,right-to-leave,"The proposal includes right to leave, but also cannot leave.",07,guarded,92
CPB-087,right-to-leave,"The proposal includes right to leave, but also cannot leave and lock in.",07,needs-safeguards,80
CPB-088,right-to-leave,The proposal schedules a neighborhood design workshop and publishes the date.,,no-explicit-conflict,100
CPB-089,amendment-by-evidence,The proposed rule explicitly includes change rules without notice.,08,needs-safeguards,88
CPB-090,amendment-by-evidence,The proposed rule explicitly includes change rules without notice and retroactive rule.,08,needs-safeguards,76
CPB-091,amendment-by-evidence,"The proposed rule explicitly includes change rules without notice, retroactive rule, and unilateral change.",08,needs-safeguards,64
CPB-092,amendment-by-evidence,"The proposed rule explicitly includes change rules without notice, retroactive rule, unilateral change, and permanent rule.",08,high-risk,52
CPB-093,amendment-by-evidence,The proposal explicitly includes public proposal and review period.,08,no-explicit-conflict,100
CPB-094,amendment-by-evidence,"The proposal includes public proposal, but also change rules without notice.",08,guarded,92
CPB-095,amendment-by-evidence,"The proposal includes public proposal, but also change rules without notice and retroactive rule.",08,needs-safeguards,80
CPB-096,amendment-by-evidence,The proposal schedules a neighborhood design workshop and publishes the date.,,no-explicit-conflict,100
CPB-097,cross-article,Make the system mandatory and collect biometric records.,01|03,needs-safeguards,76
CPB-098,cross-article,Publish a fabricated result under a secret rule.,02|05,needs-safeguards,76
CPB-099,cross-article,"Use an opaque score to punish people, with a human appeal and explain decision outcomes.",04|05,guarded,84
CPB-100,cross-article,"Make participation mandatory, publish a deepfake, collect biometric data, punish dissenters, and apply a secret rule.",01|02|03|04|05,high-risk,40
